6.27803, -358.744, -478.712
3.5948, 7.94758, -66.6878
5.89648, 192.207, -361.594
5.09708, -35.4468, 391.375
2.76731, -438.745, 332.445
2.53849, 144.136, 37.5349
4.58743, -443.258, -96.5934
7.15218, 69.6744, 228.646
2.95982, -31.9212, 397.455
6.00595, -61.302, 146.776
3.81226, 237.531, 379.174
4.14117, 141.416, -389.885
7.45519, 276.178, 132.82
7.41275, -294.172, -128.958
5.75759, 252.519, 235.304
6.92354, 168.428, -404.045
6.33247, -59.7303, -189.135
3.87453, -250.569, -40.4841
4.93259, -259.932, -160.258
2.80282, 387.524, 375.057
5.08146, -5.78454, 363.873
4.96988, 428.291, -178.753
7.23882, -375.828, -206.877
4.42071, 14.392, -401.827
5.14874, 376.757, -165.489
2.75042, 430.143, -37.1363
6.63909, 245.26, 193.213
5.94228, -465.181, -356.012
6.18112, 121.548, 371.206
6.94286, 464.795, 211.918
4.25508, -174.026, -276.42
6.72991, 61.3918, 9.88525
3.84659, 340.56, -86.8347
4.83959, 11.1974, -63.8472
3.2686, -308.942, -164.062
2.66527, 311.392, 139.643
7.2768, 28.0622, 14.2638
6.95369, 79.8605, 202.938
3.29884, 304.677, 117.583
3.15214, 194.455, -323.349
2.515, -207.238, -379.781
6.0491, -401.854, -122.909
3.40448, -237.499, 417.038
5.76029, 414.039, -202.062
4.42907, 203.138, -385.274
3.23766, 29.1902, -63.2645
5.45054, 280.297, 110.965
3.24076, 32.6806, 389.078
3.2091, -61.8326, 393.929
4.94257, -232.559, 42.0351
3.13015, 418.106, -36.7591
5.64635, -181.098, -257.301
5.60817, 141.81, -396.845
4.88216, -231.833, 299.678
2.64188, -289.684, -135.749
3.21011, -80.7277, 417.27
3.15594, -76.4826, 425.267
3.31099, -396.029, 368.382
3.76529, -134.05, -398.036
4.77654, 232.051, -358.832
6.54472, -33.4245, -145.915
3.57624, 106.184, 353.475
3.75063, 372.275, 165.785
5.02978, 9.2772, 367.329
